#run	isolate	library_name
SRR4005144	RedAngus2	RedAngus2_run52_S1_L1
SRR4005145	RedAngus2	RedAngus2_run52_S1_L2
SRR4005146	RedAngus2	RedAngus2_run52_S1_L3
SRR4005147	RedAngus2	RedAngus2_run52_S1_L4
SRR4005148	RedAngus2	RedAngus2_run56_S1_L1
SRR4005149	RedAngus2	RedAngus2_run56_S1_L2
SRR4005150	RedAngus2	RedAngus2_run56_S1_L3
SRR4005151	RedAngus2	RedAngus2_run56_S1_L4
SRR4005153	RedAngus2	RedAngus2_run64_S1_L1
SRR4005154	RedAngus2	RedAngus2_run64_S1_L2
SRR4005155	RedAngus2	RedAngus2_run64_S1_L3
SRR4005156	RedAngus2	RedAngus2_run64_S1_L4
SRR4005157	RedAngus2	RedAngus2_run68_S2_L1
SRR4005158	RedAngus2	RedAngus2_run68_S2_L2
SRR4005159	RedAngus2	RedAngus2_run68_S2_L3
SRR4005160	RedAngus2	RedAngus2_run68_S2_L4
SRR4003084	Salers1	Salers1_run2_S6_L1
SRR4003085	Salers1	Salers1_run2_S6_L2
SRR4003087	Salers1	Salers1_run2_S6_L3
SRR4003088	Salers1	Salers1_run2_S6_L4
SRR4003090	Salers1	Salers1_run7_S5_L1
SRR4003091	Salers1	Salers1_run7_S5_L2
SRR4003092	Salers1	Salers1_run7_S5_L3
SRR4003093	Salers1	Salers1_run7_S5_L4
SRR4003094	Salers1	Salers1_run22_S2_L1
SRR4003096	Salers1	Salers1_run22_S2_L2
SRR4003097	Salers1	Salers1_run22_S2_L3
SRR4003098	Salers1	Salers1_run22_S2_L4
SRR4003099	Salers1	Salers1_run46_S5_L1
SRR4003100	Salers1	Salers1_run46_S5_L2
SRR4003102	Salers1	Salers1_run46_S5_L3
SRR4003103	Salers1	Salers1_run46_S5_L4
SRR4003104	Salers1	Salers1_run50_S1_L1
SRR4003105	Salers1	Salers1_run50_S1_L2
SRR4003106	Salers1	Salers1_run50_S1_L3
SRR4003107	Salers1	Salers1_run50_S1_L4
SRR4001820	SantaGertrudis2	SantaGertrudis2_run3_S8_L1
SRR4001822	SantaGertrudis2	SantaGertrudis2_run3_S8_L2
SRR4001823	SantaGertrudis2	SantaGertrudis2_run3_S8_L3
SRR4001824	SantaGertrudis2	SantaGertrudis2_run3_S8_L4
SRR4001825	SantaGertrudis2	SantaGertrudis2_run5_S8_L1
SRR4001826	SantaGertrudis2	SantaGertrudis2_run5_S8_L2
SRR4001827	SantaGertrudis2	SantaGertrudis2_run5_S8_L3
SRR4001828	SantaGertrudis2	SantaGertrudis2_run5_S8_L4
SRR4001829	SantaGertrudis2	SantaGertrudis2_run44_S9_L1
SRR4001830	SantaGertrudis2	SantaGertrudis2_run44_S9_L2
SRR4001831	SantaGertrudis2	SantaGertrudis2_run44_S9_L3
SRR4001834	SantaGertrudis2	SantaGertrudis2_run44_S9_L4
SRR4002963	Shorthorn4	Shorthorn4_run13_S2_L1
SRR4002974	Shorthorn4	Shorthorn4_run13_S2_L2
SRR4002985	Shorthorn4	Shorthorn4_run13_S2_L3
SRR4002996	Shorthorn4	Shorthorn4_run13_S2_L4
SRR4003007	Shorthorn4	Shorthorn4_run15_S2_L1
SRR4003018	Shorthorn4	Shorthorn4_run15_S2_L2
SRR4003029	Shorthorn4	Shorthorn4_run15_S2_L3
SRR4003040	Shorthorn4	Shorthorn4_run15_S2_L4
SRR4003051	Shorthorn4	Shorthorn4_run52_S2_L1
SRR4003063	Shorthorn4	Shorthorn4_run52_S2_L2
SRR4003076	Shorthorn4	Shorthorn4_run52_S2_L3
SRR4003089	Shorthorn4	Shorthorn4_run52_S2_L4
SRR4003101	Shorthorn4	Shorthorn4_run54_S1_L1
SRR4003112	Shorthorn4	Shorthorn4_run54_S1_L2
SRR4003123	Shorthorn4	Shorthorn4_run54_S1_L3
SRR4003134	Shorthorn4	Shorthorn4_run54_S1_L4
SRR4003146	Shorthorn4	Shorthorn4_run57_S1_L1
SRR4003160	Shorthorn4	Shorthorn4_run57_S1_L2
SRR4003173	Shorthorn4	Shorthorn4_run57_S1_L3
SRR4003187	Shorthorn4	Shorthorn4_run57_S1_L4
SRR4003199	Shorthorn4	Shorthorn4_run59_S1_L1
SRR4003210	Shorthorn4	Shorthorn4_run59_S1_L2
SRR4003221	Shorthorn4	Shorthorn4_run59_S1_L3
SRR4003232	Shorthorn4	Shorthorn4_run59_S1_L4
SRR4003243	Shorthorn4	Shorthorn4_run66_S1_L1
SRR4003254	Shorthorn4	Shorthorn4_run66_S1_L2
SRR4003265	Shorthorn4	Shorthorn4_run66_S1_L3
SRR4003276	Shorthorn4	Shorthorn4_run66_S1_L4
ERR320241	ShorthornZebu1	ShorthornZebu1
SRR4004755	Simmental5	Simmental5_run17_S3_L1
SRR4004756	Simmental5	Simmental5_run17_S3_L2
SRR4004757	Simmental5	Simmental5_run17_S3_L3
SRR4004758	Simmental5	Simmental5_run17_S3_L4
SRR4004761	Simmental5	Simmental5_run18_S3_L1
SRR4004762	Simmental5	Simmental5_run18_S3_L2
SRR4004763	Simmental5	Simmental5_run18_S3_L3
SRR4004764	Simmental5	Simmental5_run18_S3_L4
SRR4004765	Simmental5	Simmental5_run55_S5_L1
SRR4004766	Simmental5	Simmental5_run55_S5_L2
SRR4004767	Simmental5	Simmental5_run55_S5_L3
SRR4004768	Simmental5	Simmental5_run55_S5_L4
SRR4001932	Tarentaise1	Tarentaise1_run16_S2_L1
SRR4001944	Tarentaise1	Tarentaise1_run16_S2_L2
SRR4001955	Tarentaise1	Tarentaise1_run16_S2_L3
SRR4001966	Tarentaise1	Tarentaise1_run16_S2_L4
SRR4001977	Tarentaise1	Tarentaise1_run20_S2_L1
SRR4001988	Tarentaise1	Tarentaise1_run20_S2_L2
SRR4001999	Tarentaise1	Tarentaise1_run20_S2_L3
SRR4002010	Tarentaise1	Tarentaise1_run20_S2_L4
SRR4002021	Tarentaise1	Tarentaise1_run50_S3_L1
SRR4002032	Tarentaise1	Tarentaise1_run50_S3_L2
SRR4002040	Tarentaise1	Tarentaise1_run50_S3_L3
SRR4002042	Tarentaise1	Tarentaise1_run50_S3_L4
SRR4002043	Tarentaise1	Tarentaise1_run53_S1_L1
SRR4002044	Tarentaise1	Tarentaise1_run53_S1_L2
SRR4002045	Tarentaise1	Tarentaise1_run53_S1_L3
SRR4002046	Tarentaise1	Tarentaise1_run53_S1_L4
SRR4002047	Tarentaise1	Tarentaise1_run54_S6_L1
SRR4002048	Tarentaise1	Tarentaise1_run54_S6_L2
SRR4002049	Tarentaise1	Tarentaise1_run54_S6_L3
SRR4002050	Tarentaise1	Tarentaise1_run54_S6_L4
SRR4001865	TexasLonghorn4	TexasLonghorn4_run1_lane1
SRR4001867	TexasLonghorn4	TexasLonghorn4_run1_lane2
SRR4001868	TexasLonghorn4	TexasLonghorn4_run1_lane3
SRR4001869	TexasLonghorn4	TexasLonghorn4_run1_lane4
SRR4001870	TexasLonghorn4	TexasLonghorn4_run2_lane1
SRR4001871	TexasLonghorn4	TexasLonghorn4_run2_lane2
SRR4001872	TexasLonghorn4	TexasLonghorn4_run2_lane3
SRR4001873	TexasLonghorn4	TexasLonghorn4_run2_lane4
SRR4001874	TexasLonghorn4	TexasLonghorn4_run3_lane1
SRR4001875	TexasLonghorn4	TexasLonghorn4_run3_lane2
SRR4001876	TexasLonghorn4	TexasLonghorn4_run3_lane3
SRR4001878	TexasLonghorn4	TexasLonghorn4_run3_lane4
SRR4001879	TexasLonghorn4	TexasLonghorn4_run4_lane1
SRR4001880	TexasLonghorn4	TexasLonghorn4_run4_lane2
SRR4001881	TexasLonghorn4	TexasLonghorn4_run4_lane3
SRR4001882	TexasLonghorn4	TexasLonghorn4_run4_lane4
SRR4001883	TexasLonghorn4	TexasLonghorn4_run5_lane1
SRR4001884	TexasLonghorn4	TexasLonghorn4_run5_lane2
SRR4001885	TexasLonghorn4	TexasLonghorn4_run5_lane3
SRR4001886	TexasLonghorn4	TexasLonghorn4_run5_lane4
SRR5507243	Tibetan9	Tibetan9
SRR5507202	Weining3	Weining3
SRR6024578	Wenshan7	Wenshan7
SRR5507273	Yanbian	Yanbian
